A.Alarm.PCD01_ALA.MyName_377;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_376;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_375;Manual switch 54M1 Pump Garage Radiator - in Manualmode
A.Alarm.PCD01_ALA.MyName_374;Fuse 54F1 Pump Garage Radiator Alarm
A.Alarm.PCD01_ALA.MyName_373;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_372;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_371;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_370;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_369;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_368;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_367;Manual switch 7M1 Pump Hamam - in Manualmode
A.Alarm.PCD01_ALA.MyName_366;Fuse 7F1 Pump Hamam Alarm
A.Alarm.PCD01_ALA.MyName_365;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_364;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_363;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_362;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_361;Manual Switch Bath Radiator Appartment- in Manualmode
A.Alarm.PCD01_ALA.MyName_360;Fuse 15F1 Bath Radiator AppartmentAlarm
A.Alarm.PCD01_ALA.MyName_359;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_358;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_357;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_356;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_355;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_354;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_353;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_352;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_351;ZonenVentil1 in Manualmode
A.Alarm.PCD01_ALA.MyName_350;ZonenVentil1 low
A.Alarm.PCD01_ALA.MyName_349;ZonenVentil1 high
A.Alarm.PCD01_ALA.MyName_348;Alarm
A.Alarm.PCD01_ALA.MyName_347;Alarm
A.Alarm.PCD01_ALA.MyName_346;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_345;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_344;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_343;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_342;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_341;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_340;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_339;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_338;Manual switch 14M1 Pump Ceiling Appartment - in Manualmode
A.Alarm.PCD01_ALA.MyName_337;Fuse 14F1 Pump Ceiling Appartment Alarm
A.Alarm.PCD01_ALA.MyName_336;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_335;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_334;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_333;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_332;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_331;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_330;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_329;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_328;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_327;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_326;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_325;ZonenVentil1 in Manualmode
A.Alarm.PCD01_ALA.MyName_324;ZonenVentil1 low
A.Alarm.PCD01_ALA.MyName_323;ZonenVentil1 high
A.Alarm.PCD01_ALA.MyName_322;Alarm
A.Alarm.PCD01_ALA.MyName_321;Alarm
A.Alarm.PCD01_ALA.MyName_320;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_319;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_318;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_317;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_316;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_315;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_314;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_313;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_312;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_311;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_310;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_309;ZonenVentil1 in Manualmode
A.Alarm.PCD01_ALA.MyName_308;ZonenVentil1 low
A.Alarm.PCD01_ALA.MyName_307;ZonenVentil1 high
A.Alarm.PCD01_ALA.MyName_306;Alarm
A.Alarm.PCD01_ALA.MyName_305;Alarm
A.Alarm.PCD01_ALA.MyName_304;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_303;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_302;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_301;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_300;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_299;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_298;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_297;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_296;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_295;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_294;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_293;ZonenVentil1 in Manualmode
A.Alarm.PCD01_ALA.MyName_292;ZonenVentil1 low
A.Alarm.PCD01_ALA.MyName_291;ZonenVentil1 high
A.Alarm.PCD01_ALA.MyName_290;Alarm
A.Alarm.PCD01_ALA.MyName_289;Alarm
A.Alarm.PCD01_ALA.MyName_288;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_287;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_286;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_285;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_284;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_283;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_282;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_281;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_280;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_279;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_278;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_277;ZonenVentil1 in Manualmode
A.Alarm.PCD01_ALA.MyName_276;ZonenVentil1 low
A.Alarm.PCD01_ALA.MyName_275;ZonenVentil1 high
A.Alarm.PCD01_ALA.MyName_274;Alarm
A.Alarm.PCD01_ALA.MyName_273;Alarm
A.Alarm.PCD01_ALA.MyName_272;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_271;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_270;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_269;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_268;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_267;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_266;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_265;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_264;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_263;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_262;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_261;ZonenVentil1 in Manualmode
A.Alarm.PCD01_ALA.MyName_260;ZonenVentil1 low
A.Alarm.PCD01_ALA.MyName_259;ZonenVentil1 high
A.Alarm.PCD01_ALA.MyName_258;Alarm
A.Alarm.PCD01_ALA.MyName_257;Alarm
A.Alarm.PCD01_ALA.MyName_256;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_255;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_254;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_253;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_252;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_251;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_250;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_249;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_248;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_247;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_246;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_245;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_244;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_243;Manual Switch Bath Radiator 1st Floor Room 9 -
A.Alarm.PCD01_ALA.MyName_242;Fuse 64F2 Bath Radiator 1st Floor Room 9 Alarm
A.Alarm.PCD01_ALA.MyName_241;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_240;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_239;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_238;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_237;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_236;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_235;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_234;Manual Switch Bath Radiator 1st Floor Room 8 - in Manualmode
A.Alarm.PCD01_ALA.MyName_233;Fuse 64F1 Bath Radiator 1st Floor Room 8 Alarm
A.Alarm.PCD01_ALA.MyName_232;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_231;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_230;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_229;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_228;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_227;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_226;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_225;Manual Switch Bath Radiator 1st Floor Room 4 - in Manualmode
A.Alarm.PCD01_ALA.MyName_224;Fuse 63F3 Bath Radiator 1st Floor Room 4 Alarm
A.Alarm.PCD01_ALA.MyName_223;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_222;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_221;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_220;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_219;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_218;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_217;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_216;Manual Switch Bath Radiator 1st Floor Room 3 - in Manualmode
A.Alarm.PCD01_ALA.MyName_215;Fuse 63F3 Bath Radiator 1st Floor Room 3 Alarm
A.Alarm.PCD01_ALA.MyName_214;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_213;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_212;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_211;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_210;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_209;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_208;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_207;ZonenVentil2 in Manualmode
A.Alarm.PCD01_ALA.MyName_206;ZonenVentil2 low
A.Alarm.PCD01_ALA.MyName_205;ZonenVentil2 high
A.Alarm.PCD01_ALA.MyName_204;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_203;Sensorlimit High
